,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
1628,Talla:select:0,M:0,1,500,1
1628,Talla:select:0,L:0,0,500,1
1628,Talla:select:0,XL:0,0,500,1
1628,Talla:select:0,XXL:0,0,500,1
1629,Talla:select:0,XS:0,0,500,1
1629,Talla:select:0,S:0,0,500,1
1629,Talla:select:0,M:0,1,500,1
1629,Talla:select:0,L:0,0,500,1
1629,Talla:select:0,XL:0,0,500,1
1629,Talla:select:0,XXL:0,0,500,1
1630,Talla:select:0,XS:0,0,500,1
1630,Talla:select:0,S:0,0,500,1
1630,Talla:select:0,M:0,1,500,1
1630,Talla:select:0,L:0,0,500,1
1630,Talla:select:0,XL:0,0,500,1
1630,Talla:select:0,XXL:0,0,500,1
1631,Talla:select:0,XS:0,0,500,1
1631,Talla:select:0,S:0,0,500,1
